label,precision,recall,n_training
short_pellet,0.42341592,0.647835409,301
large_loose_pellet,0.440678958,0.682361484,437
zooplankton_part,0.449310477,0.665098447,437
fiber,0.78593971,0.863623379,710
copepod,0.457941995,0.734150597,847
mini_pellet,0.604677815,0.889517936,847
long_fecal_pellet,0.561520221,0.863623379,1530
dense_detritus,0.777308191,0.604677815,2623
aggregate,0.846360342,0.906780973,5355
unidentifiable,0.975833124,0.734150597,13551
